trial,question,code
1,Are all ships horizontal?,(all (map (lambda x0 (== (orient x0) H)) (set AllColors)))
1,Are any of the ships touching?,(or (or (touch Blue Purple) (touch Purple Red)) (touch Blue Red))
1,Are any ships 2 tiles long?,(any (map (lambda x0 (== (size x0) 2)) (set AllColors)))
1,At what location is the top left part of the red ship?,(topleft (coloredTiles Red))
1,At what location is the top left part of the red ship?,(topleft (coloredTiles Red))
1,How many ships are 4 tiles long? ,(++ (map (lambda x0 (== (size x0) 4)) (set AllColors)))
1,How many ships are horizontal? ,(++ (map (lambda x0 (== (orient x0) H)) (set AllColors)))
1,How many tiles in column B are occupied by ships?,(++ (map (lambda x0 (++ (map (lambda y0 (== (colL y0) 2)) (coloredTiles x0)))) (set AllColors)))
1,How many tiles is the blue ship?,(size Blue)
1,How many tiles is the blue ship?,(size Blue)
1,How many tiles is the blue ship?,(size Blue)
1,How many tiles is the blue ship?,(size Blue)
1,How many tiles is the blue ship?,(size Blue)
1,How many tiles is the blue ship?,(size Blue)
1,How many tiles is the purple ship?,(size Purple)
1,How many tiles is the purple ship?,(size Purple)
1,How many tiles is the red ship?,(size Red)
1,Is the blue ship 3 tiles long?,(== (size Blue) 3)
1,Is the blue ship 3 tiles long?,(== (size Blue) 3)
1,Is the red ship 3 tiles long?,(== (size Red) 3)
1,Is there a purple tile at 1A?,(== (color 1A) Purple)
1,Is there a red tile at 1A?,(== (color 1A) Red)
1,Is there a ship at 1A?,(not (== (color 1A) Water))
1,Is there a ship at 4B?,(not (== (color 4B) Water))
1,Is there a ship at 4B?,(not (== (color 4B) Water))
1,Is there any part of the blue ship in row 1?,(any (map (lambda y0 (== (rowL y0) 1)) (coloredTiles Blue)))
1,Is there any part of the blue ship in row 4?,(any (map (lambda y0 (== (rowL y0) 4)) (coloredTiles Blue)))
1,Is there any ship in column B?,(any (map (lambda x0 (any (map (lambda y1 (== (colL y1) 2)) (coloredTiles x0)))) (set AllColors)))
1,What color is at 1C?,(color 1C)
1,What is the location of one blue tile?,(topleft (coloredTiles Blue))
2,Are all parts of the purple ship in column C?,(all (map (lambda y0 (== (colL y0) 3)) (coloredTiles Purple)))
2,Are all ships vertical?,(all (map (lambda x0 (== (orient x0) V)) (set AllColors)))
2,Does the purple ship touch any other ship?,(any (map (lambda x0 (touch Purple x0)) (set Blue Red)))
2,How many tiles is the blue ship?,(size Blue)
2,How many tiles is the purple ship?,(size Purple)
2,How many tiles is the purple ship?,(size Purple)
2,How many tiles is the purple ship?,(size Purple)
2,How many tiles is the purple ship?,(size Purple)
2,How many tiles is the purple ship?,(size Purple)
2,How many tiles is the purple ship?,(size Purple)
2,How many tiles is the purple ship?,(size Purple)
2,How many tiles is the purple ship?,(size Purple)
2,How many tiles is the purple ship?,(size Purple)
2,How many tiles is the purple ship?,(size Purple)
2,How many tiles is the purple ship?,(size Purple)
2,How many tiles is the red ship?,(size Red)
2,Is the blue ship 3 tiles long?,(== (size Blue) 3)
2,Is the purple ship 2 tiles long?,(== (size Purple) 2)
2,Is the purple ship 3 tiles long?,(== (size Purple) 3)
2,Is the purple ship 4 tiles long?,(== (size Purple) 4)
2,Is the purple ship 4 tiles long?,(== (size Purple) 4)
2,Is the purple ship horizontal?,(== (orient Purple) H)
2,Is the purple ship horizontal?,(== (orient Purple) H)
2,Is the purple ship horizontal?,(== (orient Purple) H)
2,Is the purple ship horizontal?,(== (orient Purple) H)
2,Is the purple ship horizontal?,(== (orient Purple) H)
2,Is the purple ship horizontal?,(== (orient Purple) H)
2,Is the purple ship horizontal?,(== (orient Purple) H)
2,Is the purple ship horizontal?,(== (orient Purple) H)
2,Is the purple ship horizontal?,(== (orient Purple) H)
2,Is there a purple tile at 6C?,(== (color 6C) Purple)
2,What color is at 6D?,(color 6D)
2,What is the location of one red tile?,(topleft (coloredTiles Red))
3,Are all ships 3 tiles long?,(all (map (lambda x0 (== (size x0) 3)) (set AllColors)))
3,Are any ships 4 tiles long?,(any (map (lambda x0 (== (size x0) 4)) (set AllColors)))
3,Are there any ships in the bottom half of the grid?,(any (map (lambda x0 (any (map (lambda y1 (> (rowL y1) 3)) (coloredTiles x0)))) (set AllColors)))
3,At what location is the top left part of the purple ship?,(topleft (coloredTiles Purple))
3,At what location is the top left part of the red ship?,(topleft (coloredTiles Red))
3,At what location is the top left part of the red ship?,(topleft (coloredTiles Red))
3,Do the blue ship and the purple ship have the same size?,(== (size Blue) (size Purple))
3,Does the blue ship touch any other ship?,(any (map (lambda x0 (touch Blue x0)) (set Purple Red)))
3,Does the blue ship touch any other ship?,(any (map (lambda x0 (touch Blue x0)) (set Purple Red)))
3,Does the blue ship touch any other ship?,(any (map (lambda x0 (touch Blue x0)) (set Purple Red)))
3,How many tiles are occupied by ships?,(++ (map (lambda x0 (size x0)) (set AllColors)))
3,How many tiles is the purple ship?,(size Purple)
3,How many tiles is the purple ship?,(size Purple)
3,How many tiles is the red ship?,(size Red)
3,How many tiles is the red ship?,(size Red)
3,How many tiles is the red ship?,(size Red)
3,How many tiles is the red ship?,(size Red)
3,Is the blue ship longer than the red ship?,(> (size Blue) (size Red))
3,Is the purple ship 3 tiles long?,(== (size Purple) 3)
3,Is the purple ship 4 tiles long?,(== (size Purple) 4)
3,Is the red ship 3 tiles long?,(== (size Red) 3)
3,Is the red ship 4 tiles long?,(== (size Red) 4)
3,Is the red ship horizontal?,(== (orient Red) H)
3,Is there a purple tile at 1A?,(== (color 1A) Purple)
3,Is there a purple tile at 3A?,(== (color 3A) Purple)
3,Is there a red tile at 6A?,(== (color 1A) Red)
3,Is there a ship at 1F?,(not (== (color 1F) Water))
3,Is there a ship at 3E?,(not (== (color 3E) Water))
