prefix,completion,translation,score,type,particle_num,model_type,trial_id
What,What is at A3?,(color A-3),1,rollout,0,COMBINED,18
What,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,0,COMBINED,18
What,What is the coordinate of the bottommost block of the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,0,COMBINED,18
What,What is at A3?,(color A-3),1,rollout,1,COMBINED,18
What,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,1,COMBINED,18
What,What is the coordinate of the bottommost block of the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,1,COMBINED,18
What,What is at A3?,(color A-3),1,rollout,2,COMBINED,18
What,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,2,COMBINED,18
What,What is the coordinate of the bottommost block of the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,2,COMBINED,18
What,What is at A3?,(color A-3),1,rollout,3,COMBINED,18
What,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,3,COMBINED,18
What,What is the coordinate of the bottommost block of the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,3,COMBINED,18
What,What is at A3?,(color A-3),1,rollout,4,COMBINED,18
What,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,4,COMBINED,18
What,What is the coordinate of the bottommost block of the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,4,COMBINED,18
What is,What is the coordinate of the yellow ship?,(topleft (coloredTiles Yellow)),0,rollout,0,COMBINED,18
What is,What is the highest coordinate of the blue ship?,(max (map (lambda x0 (bottomright (coloredTiles x0))) (set AllColors))),0,rollout,0,COMBINED,18
What is,What is the rightmost square occupied by the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,0,COMBINED,18
What is,What is the coordinate of the yellow ship?,(topleft (coloredTiles Yellow)),0,rollout,1,COMBINED,18
What is,What is the highest coordinate of the blue ship?,(max (map (lambda x0 (bottomright (coloredTiles x0))) (set AllColors))),0,rollout,1,COMBINED,18
What is,What is the rightmost square occupied by the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,1,COMBINED,18
What is,What is the coordinate of the yellow ship?,(topleft (coloredTiles Yellow)),0,rollout,2,COMBINED,18
What is,What is the highest coordinate of the blue ship?,(max (map (lambda x0 (bottomright (coloredTiles x0))) (set AllColors))),0,rollout,2,COMBINED,18
What is,What is the rightmost square occupied by the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,2,COMBINED,18
What is,What is the coordinate of the yellow ship?,(topleft (coloredTiles Yellow)),0,rollout,3,COMBINED,18
What is,What is the highest coordinate of the blue ship?,(max (map (lambda x0 (bottomright (coloredTiles x0))) (set AllColors))),0,rollout,3,COMBINED,18
What is,What is the rightmost square occupied by the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,3,COMBINED,18
What is,What is the coordinate of the yellow ship?,(topleft (coloredTiles Yellow)),0,rollout,4,COMBINED,18
What is,What is the highest coordinate of the blue ship?,(max (map (lambda x0 (bottomright (coloredTiles x0))) (set AllColors))),0,rollout,4,COMBINED,18
What is,What is the rightmost square occupied by the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,4,COMBINED,18
What is the,What is the bottommost square occupied by the purple ship?,(bottomright (coloredTiles Purple)),2.5,rollout,0,COMBINED,18
What is the,What is the leftmost square occupied by the purple ship?,(topleft (coloredTiles Purple)),0.954434,rollout,0,COMBINED,18
What is the,What is the bottom-right corner of the purple ship?,(bottomright (coloredTiles Purple)),2.5,rollout,0,COMBINED,18
What is the,What is the bottommost square occupied by the purple ship?,(bottomright (coloredTiles Purple)),2.5,rollout,1,COMBINED,18
What is the,What is the leftmost square occupied by the purple ship?,(topleft (coloredTiles Purple)),0.954434,rollout,1,COMBINED,18
