mode,context,question,code,eig
ascii,1,Is the cell E1 a part of a battleship?,(not (== (color E-1) Water)),0
ascii,1,Is the purple battleship located in any of the hidden cells in row A?,(intersect (row A) (coloredTiles Purple)),0
ascii,1,Is the cell D1 a part of the battleship?,(isSubset (set D-1) (coloredTiles Battleship)),0
ascii,1,Is the Blue battleship located in the first column?,(isSubset (set 1-*) (coloredTiles Blue)),0
ascii,1,Is the blue battleship in cells E1 or F1?,(or (isSubset (set E-1) (coloredTiles Blue)) (isSubset (set F-1) (coloredTiles Blue))),0.253637
ascii,1,Is the cell D1 a part of a battleship?,(not (== (color D-1) Water)),0.703309
ascii,1,Is there a battleship at position B1?,(not (== (color B-1) Water)),0.914461
ascii,1,Is the cell at B3 a part of the battleship?,(isSubset (set B-3) (coloredTiles Battleship)),0
ascii,1,Is the cell at B1 a part of the battleship?,(isSubset (set B-1) (coloredTiles Battleship)),0
ascii,1,Is the blue battleship placed in the D column?,(isSubset (set D-*) (coloredTiles Blue)),0
ascii,1,Is the ship in row D vertical?,(== (orient D) V),0
ascii,1,Is the cell at position A1 a part of any battleship?,(not (== (color A-1) Water)),0.774805
ascii,1,Is the cell D1 part of a battleship?,(not (== (color D-1) Water)),0.703309
ascii,1,Is the cell C1 a part of any of the battleships?,(not (== (color C-1) Water)),0.777775
ascii,1,Is the cell at B2 a part of the blue battleship?,(isSubset (set B-2) (coloredTiles Blue)),0.424829
ascii,1,Is the Blue battleship located at C1?,(isSubset (set C-1) (coloredTiles Blue)),0.390162
ascii,1,"Is the battleship represented by ""W"" markers placed in a vertical direction?",(== (orient W) V),0
ascii,1,Is the cell D1 part of the battleship?,(isSubset (set D-1) (coloredTiles Battleship)),0
ascii,1,Is there a battleship in the A row?,(any (map (lambda x0 (isSubset (set x0) (coloredTiles A))) (set AllColors))),0
ascii,1,Is the blue battleship located at B2?,(isSubset (set B-2) (coloredTiles Blue)),0.424829
ascii,1,Is there a battleship in cell B4?,(not (== (color B-4) Water)),0.940616
ascii,1,Is cell E1 hiding a part of a battleship?,(not (== (color E-1) Water)),0
ascii,1,Is the purple battleship located in the first row?,(isSubset (set (range 1-1 1-10)) (coloredTiles Purple)),0
ascii,1,Is the Blue battleship located at C1?,(isSubset (set C-1) (coloredTiles Blue)),0.390162
ascii,1,Is the blue battleship located at A1?,(isSubset (set A-1) (coloredTiles Blue)),0.388128
ascii,1,Is there a battleship in cell B4?,(not (== (color B-4) Water)),0.940616
ascii,1,Is the hidden cell at A1 a part of the purple battleship?,(isSubset (set A-1) (coloredTiles Purple)),0.388128
ascii,1,Is the cell at C1 part of the purple battleship?,(isSubset (set C-1) (coloredTiles Purple)),0.390162
ascii,1,Is the cell B1 a part of the blue battleship?,(isSubset (set B-1) (coloredTiles Blue)),0.499458
ascii,1,Is there a battleship located at C1?,(isSubset (set C-1) (set AllColors)),0
ascii,1,Is the purple battleship placed in row 1?,(isSubset (set 1) (row (coloredTiles Purple))),0
ascii,1,Is the Blue battleship located horizontally on the grid?,(== (orient Blue) H),0.993542
ascii,1,Is the blue battleship located in cell C1?,(isSubset (set C-1) (coloredTiles Blue)),0.390162
ascii,1,Is there a battleship located in row A or B?,(any (map (lambda x0 (or (isIn A (rows (coloredTiles x0))) (isIn B (rows (coloredTiles x0))))) (set AllColors))),0
ascii,1,Is there a battleship located at C1?,(not (== (color C-1) Water)),0.777775
ascii,1,Is the battleship located at B1?,(isSubset (set B-1) (coloredTiles Battleship)),0
ascii,1,Is the blue battleship located in row 1 or row 2?,(or (isSubset (set 1-*) (coloredTiles Blue)) (isSubset (set 2-*) (coloredTiles Blue))),0
ascii,1,Is the purple battleship located in row A or B?,(isSubset (set (range A B)) (rowSet (coloredTiles Purple))),0
ascii,1,Is there a battleship in cell A1?,(not (== (color A-1) Water)),0.774805
ascii,1,Is there a battleship in row A?,(not (== (size (intersect (set A-All) (set AllColors))) 0)),0
ascii,1,Is the Blue battleship in the columns C to F?,(isSubset (coloredTiles Blue) (set C-F)),0
ascii,1,Is there a battleship at position A1?,(not (== (color A-1) Water)),0.774805
ascii,1,Is the Battleship located in cell A1?,(isSubset (set A-1) (coloredTiles Battleship)),0
ascii,1,Is the purple battleship located on row 1?,(isSubset (set 1-*) (coloredTiles Purple)),0
ascii,1,Does the purple battleship occupy cell C1?,(isSubset (set C-1) (coloredTiles Purple)),0.390162
ascii,1,Is the battleship located at D1?,(isSubset (set D-1) (coloredTiles Battleship)),0
ascii,1,Is there a battleship at position B1?,(not (== (color B-1) Water)),0.914461
ascii,1,Is there a battleship in row D?,(not (== (setColorinRow D) Water)),0
ascii,1,Is the Red battleship placed in position D3?,(isSubset (set D-3) (coloredTiles Red)),0
ascii,1,Is the Battleship located at B1?,(isSubset (set B-1) (coloredTiles Battleship)),0
ascii,1,Is there a battleship located at D3?,(not (== (color D-3) Water)),0
ascii,1,Is there a battleship at A1?,(not (== (color A-1) Water)),0.774805
ascii,1,Is the purple battleship located at B1?,(isSubset (set B-1) (coloredTiles Purple)),0.499458
