mode,context,question,code,eig
ascii,1,Is the blue battleship placed horizontally on the board?,(== (orient Blue) H),0.993542
ascii,1,Is the blue battleship located at cell C2?,(isSubset (set C-2) (coloredTiles Blue)),0
ascii,1,Is the red battleship located in any of the hidden cells?,(isSubset (set HiddenCells) (coloredTiles Red)),0
ascii,1,Is the purple battleship located in row 1?,(== (rowL (topleft (coloredTiles Purple))) 1),0.758682
ascii,1,Is the red battleship located in column F?,(isSubset (set F-* ) (coloredTiles Red)),0
ascii,1,Is the cell C1 part of a battleship?,(not (== (color C-1) Water)),0.777775
ascii,1,Is the red battleship located at C1?,(isSubset (set C-1) (coloredTiles Red)),0.390162
ascii,1,Is the ship located at C4 part of the purple battleship?,(isSubset (set C-4) (coloredTiles Purple)),0.549831
ascii,1,Is there a battleship in row 1 or column D?,(or (not (== (filter (lambda x0 (== (rowL x0) 1)) (set AllTiles)) (set))) (not (== (filter (lambda x0 (== (colL x0) D)) (set AllTiles)) (set)))),0
ascii,1,Is the red battleship located at C1?,(isSubset (set C-1) (coloredTiles Red)),0.390162
ascii,2,Is the purple battleship located at cell C3 oriented vertically?,(and (isSubset (set C-3) (coloredTiles Purple)) (== (orient Purple) V)),0.867056
ascii,2,Is the purple battleship located at C3 horizontally positioned?,(and (isSubset (set C-3) (coloredTiles Purple)) (== (orient Purple) H)),0.867056
ascii,2,Is the Purple battleship located at cell C2 or C4?,(isSubset (set C-2 C-4) (coloredTiles Purple)),0
ascii,2,Is the purple battleship located at C3 oriented vertically on the grid?,(and (isSubset (set C-3) (coloredTiles Purple)) (== (orient Purple) V)),0.867056
ascii,2,Is the cell B3 a part of the purple battleship?,(isSubset (set B-3) (coloredTiles Purple)),0.98375
ascii,2,Is the purple battleship located in cell C2?,(isSubset (set C-2) (coloredTiles Purple)),0
ascii,2,Is the hidden cell at C1 part of the purple battleship?,(isSubset (set C-1) (coloredTiles Purple)),0
ascii,2,Is the purple battleship located at C3 vertical?,(and (isSubset (set C-3) (coloredTiles Purple)) (== (orient Purple) V)),0.867056
ascii,2,Is the purple battleship located at C3 and D3?,(isSubset (set C-3 D-3) (coloredTiles Purple)),0.997782
ascii,2,Is the purple battleship located at C3 oriented horizontally?,(and (isSubset (set C-3) (coloredTiles Purple)) (== (orient Purple) H)),0.867056
